NAME,Fees,Students,Geo Point,Geo Shape,ADDRESS,CITY,STATE,POPULATION,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP
MOUNTAINLAND TECHNICAL COLLEGE,33334.56171284635,12876.308080808081,"40.419941, -111.886031","{""coordinates"":[-111.886031,40.419941],""type"":""Point""}",2301 WEST ASHTON BLVD.,LEHI,UT,4219.0,40.419941,-111.886031,611210.0,JUNIOR COLLEGES,3310.0,485.0,3795.0,2.0,-999.0,424.0
MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,33334.56171284635,12876.308080808081,"38.392637, -82.458292","{""coordinates"":[-82.458292,38.392637],""type"":""Point""}",ONE MOUNTWEST WAY,HUNTINGTON,WV,1468.0,38.392637,-82.458292,611210.0,JUNIOR COLLEGES,453.0,839.0,1292.0,2.0,-999.0,176.0
MR JOHN'S SCHOOL OF COSMETOLOGY & NAILS-JACKSONVILLE,33334.56171284635,12876.308080808081,"39.71467755500004, -90.23011861299995","{""coordinates"":[-90.23011861299995,39.71467755500004],""type"":""Point""}",1429 S MAIN ST,JACKSONVILLE,IL,-999.0,39.71467755500004,-90.23011861299996,611511.0,COSMETOLOGY AND BARBER SCHOOLS,-999.0,-999.0,-999.0,-1.0,-999.0,-999.0
MR JOHN'S SCHOOL OF COSMETOLOGY ESTHETICS & NAILS-DECATUR,33334.56171284635,12876.308080808081,"39.84608058600003, -88.93357368899996","{""coordinates"":[-88.93357368899996,39.84608058600003],""type"":""Point""}",1745 E ELDORADO ST.,DECATUR,IL,-999.0,39.84608058600003,-88.93357368899996,611511.0,COSMETOLOGY AND BARBER SCHOOLS,-999.0,-999.0,-999.0,-1.0,-999.0,-999.0
MR LEON'S SCHOOL OF HAIR DESIGN-LEWISTON,33334.56171284635,12876.308080808081,"46.41800375400004, -117.02046049899997","{""coordinates"":[-117.02046049899997,46.41800375400004],""type"":""Point""}",205 10TH ST,LEWISTON,ID,25.0,46.41800375400004,-117.02046049899997,611511.0,COSMETOLOGY AND BARBER SCHOOLS,-999.0,13.0,13.0,2.0,-999.0,12.0
MR LEON'S SCHOOL OF HAIR DESIGN-MOSCOW,33334.56171284635,12876.308080808081,"46.72953225300006, -117.001162008","{""coordinates"":[-117.001162008,46.72953225300006],""type"":""Point""}",618 S MAIN ST,MOSCOW,ID,15.0,46.72953225300006,-117.001162008,611511.0,COSMETOLOGY AND BARBER SCHOOLS,-999.0,11.0,11.0,2.0,-999.0,4.0
MR WAYNE'S SCHOOL OF UNISEX HAIR DESIGN,33334.56171284635,12876.308080808081,"36.15963200900006, -85.51128594099998","{""coordinates"":[-85.51128594099998,36.15963200900006],""type"":""Point""}",170 S WILLOW AVE,COOKEVILLE,TN,29.0,36.15963200900006,-85.51128594099998,611511.0,COSMETOLOGY AND BARBER SCHOOLS,4.0,16.0,20.0,2.0,-999.0,9.0
MS ROBERTS ACADEMY OF BEAUTY CULTURE,33334.56171284635,12876.308080808081,"41.88336762100005, -87.97804261299996","{""coordinates"":[-87.97804261299996,41.88336762100005],""type"":""Point""}",552 NORTH MANNHEIM ROAD,HILLSIDE,IL,49.0,41.88336762100005,-87.97804261299996,611511.0,COSMETOLOGY AND BARBER SCHOOLS,23.0,21.0,44.0,2.0,-999.0,5.0
MT HOOD COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"45.51211430500007, -122.39646704199998","{""coordinates"":[-122.39646704199998,45.51211430500007],""type"":""Point""}",26000 SE STARK ST,GRESHAM,OR,7459.0,45.51211430500007,-122.39646704199998,611210.0,JUNIOR COLLEGES,4407.0,2405.0,6812.0,2.0,-999.0,647.0
MT SAN ANTONIO COLLEGE,33334.56171284635,12876.308080808081,"34.04619392700005, -117.84555797399997","{""coordinates"":[-117.84555797399997,34.04619392700005],""type"":""Point""}",1100 N GRAND AVE,WALNUT,CA,30125.0,34.04619392700005,-117.84555797399996,611210.0,JUNIOR COLLEGES,18515.0,9878.0,28393.0,2.0,-999.0,1732.0
MT SAN JACINTO COMMUNITY COLLEGE DISTRICT,33334.56171284635,12876.308080808081,"33.807364104000044, -116.970062639","{""coordinates"":[-116.970062639,33.807364104000044],""type"":""Point""}",1499 N. STATE ST.,SAN JACINTO,CA,15396.0,33.807364104000044,-116.970062639,611210.0,JUNIOR COLLEGES,8763.0,5225.0,13988.0,2.0,-999.0,1408.0
